1;WeightLossPlan;Customized weight loss plan;Weight Loss;30 days;$200;1500;40% protein, 40% carbohydrates, 20% fat;Avoid processed foods;JohnDoe;JaneDietitian;GrilledChicken
2;BalancedDiet;Balanced diet for overall health;Balanced;60 days;$300;1800;30% protein, 50% carbohydrates, 20% fat;Include a variety of fruits and vegetables;AliceSmith;BobNutritionist;Salad
3;MuscleBuilding;High-protein diet for muscle building;Muscle Building;45 days;$250;2000;50% protein, 30% carbohydrates, 20% fat;Consume lean meats and legumes;ChrisFitness;EmilyDietitian;Steak
4;VegetarianPlan;Vegetarian diet for plant-based lifestyle;Vegetarian;30 days;$180;1400;25% protein, 55% carbohydrates, 20% fat;Incorporate tofu and legumes;LilyVeggie;DavidVegan;VegetableStirFry
5;LowCarbPlan;Low-carb diet for carbohydrate control;Low Carb;60 days;$280;1600;40% protein, 20% carbohydrates, 40% fat;Limit starchy foods;MarkLowCarb;AnnaDietitian;FishTacos
6;HighFiberPlan;Diet rich in fiber for digestive health;High Fiber;45 days;$220;1700;30% protein, 45% carbohydrates, 25% fat;Include whole grains and fruits;SophiaHealthy;MichaelDietitian;FruitSalad
7;KetoDiet;Ketogenic diet for fat burning;Keto;30 days;$320;1500;20% protein, 5% carbohydrates, 75% fat;Limit carbs and focus on healthy fats;EthanKeto;OliviaNutritionist;Oatmeal
8;GlutenFreePlan;Gluten-free diet for gluten sensitivity;Gluten Free;60 days;$280;1600;25% protein, 50% carbohydrates, 25% fat;Avoid gluten-containing grains;IsabellaGlutenFree;NoahDietitian;Sushi
9;DetoxCleanse;Detoxification plan for cleansing;Detox;7 days;$150;1200;20% protein, 60% carbohydrates, 20% fat;Emphasize fruits and vegetables;LucasDetox;AvaNutritionist;Smoothie
10;IntermittentFasting;Intermittent fasting for metabolic benefits;Intermittent Fasting;Varies;$200;1400;25% protein, 40% carbohydrates, 35% fat;Follow a specific eating window;MiaFaster;LiamDietitian;GrilledChicken
