1;Chicken Salad;Grilled chicken with fresh vegetables;Salad;350;Protein, Vitamins;Lunch
2;Vegetarian Pasta;Pasta with mixed vegetables;Main Course;400;Carbohydrates, Fiber;Dinner
3;Fruit Smoothie;Blended fruits with yogurt;Beverage;200;Vitamins, Antioxidants;Breakfast
4;Quinoa Bowl;Quinoa with roasted vegetables;Main Course;450;Protein, Fiber;Lunch
5;Greek Salad;Traditional Greek salad;Salad;300;Fiber, Vitamins;Dinner
6;Oatmeal;Oats with fruits and nuts;Breakfast;300;Carbohydrates, Fiber;Breakfast
7;Salmon Wrap;Grilled salmon in a whole wheat wrap;Main Course;400;Protein, Omega-3;Lunch
8;Vegetable Stir-Fry;Assorted vegetables stir-fried;Main Course;350;Fiber, Vitamins;Dinner
9;Protein Shake;Protein powder with milk;Beverage;250;Protein, Calcium;Snack
10;Egg Salad Sandwich;Egg salad in whole grain bread;Sandwich;320;Protein, Fiber;Lunch
